"time","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Source.ports[2].m_flow","Source.ports[2].p","Source.ports[2].h_outflow","Source.ports[3].m_flow","Source.ports[3].p","Source.ports[3].h_outflow","Source.ports[4].m_flow","Source.ports[4].p","Source.ports[4].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","Sink.ports[2].m_flow","Sink.ports[2].p","Sink.ports[2].h_outflow","Sink.ports[3].m_flow","Sink.ports[3].p","Sink.ports[3].h_outflow","Sink.ports[4].m_flow","Sink.ports[4].p","Sink.ports[4].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","downstreamPressure.y","pumpPolynomial.port_b.m_flow","pumpPolynomial.port_b.p","pumpPolynomial.port_b.h_outflow","pumpQuadraticLinear.port_b.m_flow","pumpQuadraticLinear.port_b.p","pumpQuadraticLinear.port_b.h_outflow","pumpLinear.port_b.m_flow","pumpLinear.port_b.p","pumpLinear.port_b.h_outflow"
0.106,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.108,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.11,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.112,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.114,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.116,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.118,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.12,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.122,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.124,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.126,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.128,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.13,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.132,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.134,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.136,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.138,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.14,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.142,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.144,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.146,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.148,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.15,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.152,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.154,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.156,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.158,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.16,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.162,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.164,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.166,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.168,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
0.17,-1.58470760343994,200000,84105.9189422012,-1.58470760343994,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,-1.65026078855995,200000,84105.9189422012,1.58470760343994,100000,84011.8111671368,1.58470760343994,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,1.65026078855995,100000,84011.8111671368,-1.58470760343994,100000,83980.6938171978,100000,-1.58470760343994,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978,-1.65026078855995,100000,83980.6938171978
