"time","pipe1.mediums[1].T","pipe1.mediums[1].Xi[1]","pipe1.mediums[1].p","pipe1.mediums[2].T","pipe1.mediums[2].Xi[1]","pipe1.mediums[2].p","pipe1.mediums[3].T","pipe1.mediums[3].Xi[1]","pipe1.mediums[3].p","pipe1.mediums[4].T","pipe1.mediums[4].Xi[1]","pipe1.mediums[4].p","pipe1.mediums[5].T","pipe1.mediums[5].Xi[1]","pipe1.mediums[5].p","pipe2.mediums[1].T","pipe2.mediums[1].Xi[1]","pipe2.mediums[1].p","pipe2.mediums[2].T","pipe2.mediums[2].Xi[1]","pipe2.mediums[2].p","pipe2.mediums[3].T","pipe2.mediums[3].Xi[1]","pipe2.mediums[3].p","pipe2.mediums[4].T","pipe2.mediums[4].Xi[1]","pipe2.mediums[4].p","pipe2.mediums[5].T","pipe2.mediums[5].Xi[1]","pipe2.mediums[5].p","pipe3.mediums[1].T","pipe3.mediums[1].Xi[1]","pipe3.mediums[1].p","pipe3.mediums[2].T","pipe3.mediums[2].Xi[1]","pipe3.mediums[2].p","pipe3.mediums[3].T","pipe3.mediums[3].Xi[1]","pipe3.mediums[3].p","pipe3.mediums[4].T","pipe3.mediums[4].Xi[1]","pipe3.mediums[4].p","pipe3.mediums[5].T","pipe3.mediums[5].Xi[1]","pipe3.mediums[5].p","pipe4.mediums[1].T","pipe4.mediums[1].Xi[1]","pipe4.mediums[1].p","pipe4.mediums[2].T","pipe4.mediums[2].Xi[1]","pipe4.mediums[2].p","pipe4.mediums[3].T","pipe4.mediums[3].Xi[1]","pipe4.mediums[3].p","pipe4.mediums[4].T","pipe4.mediums[4].Xi[1]","pipe4.mediums[4].p","pipe4.mediums[5].T","pipe4.mediums[5].Xi[1]","pipe4.mediums[5].p"
0.02,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.022,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.024,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.026,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.028,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.03,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.032,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.034,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.036,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.038,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.04,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.042,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.044,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.046,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.048,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.05,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.052,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.054,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.056,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.058,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.06,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.062,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
0.064,292.985104801828,0.01,148079.013307053,292.689464697987,0.01,144193.894551495,292.380149419159,0.01,140217.312397127,292.163813532633,0.01,136141.720218268,292.07979223971,0.01,131956.910148068,297.014521733133,0.01,129803.72757431,301.704981519379,0.01,128489.504804584,306.16343513795,0.01,127592.306740469,310.401413195375,0.01,126676.716257209,314.429860354698,0.01,125276.016687095,292.0311285784,0.01,129356.192970843,291.982725782394,0.01,128458.690817511,291.934322880526,0.01,127556.108259813,291.885919872869,0.01,126648.336560205,291.838114471189,0.01,125735.263247502,300.78376118667,0.01,122944.979889815,300.686996183274,0.01,118201.575627561,300.590230703182,0.01,113280.4072215,300.493464747001,0.01,108158.546585364,300.433462298528,0.01,102807.810212361
