"time","heatCapacitor.T","pipe.T"
0,293.15,293.15
0.0005,293.199875496795,293.150124253922
0.001,293.249503971072,293.150494045758
0.0015,293.298889215282,293.151103698177
0.002,293.348031498013,293.151952809249
0.0025,293.3969396279,293.153028228313
0.003,293.445611985592,293.154332372996
0.0035,293.49404795407,293.155866164485
0.004,293.542247533332,293.15762960278
0.0045,293.590223208056,293.159604094874
0.005,293.637971132644,293.161795367888
0.0055,293.685488960468,293.164206916575
0.006,293.732776691527,293.166838740935
0.0065,293.779848918797,293.169669160121
0.007,293.826704213829,293.172700296389
0.0075,293.873337924056,293.175939062075
0.008,293.919750049478,293.179385457179
0.0085,293.965952821693,293.183021371926
0.009,294.011948403404,293.186843604274
0.0095,294.057730812917,293.19086101056
0.01,294.103300050232,293.195073590786
0.0105,294.148662315426,293.199472217309
0.011,294.193823556422,293.204048133707
0.0115,294.238781595044,293.208804546651
0.012,294.283538206231,293.213738843109
0.0125,294.328095164919,293.218848410051
0.013,294.372454246048,293.224130634446
0.0135,294.416617224554,293.229582903263
0.014,294.460585875375,293.235202603472
0.0145,294.504362700694,293.240986117782
0.015,294.547950836354,293.246928953872
0.0155,294.591350975261,293.253029992902
0.016,294.634565015716,293.259286451487
0.0165,294.677594856021,293.265695546241
0.017,294.720442394479,293.272254493778
0.0175,294.763109529391,293.278960510713
0.018,294.805598159058,293.285810813659
0.0185,294.847909687416,293.292803409225
0.019,294.890042622212,293.299940932091
0.0195,294.932001278802,293.307216736446
0.02,294.973787398143,293.314628290341
0.0205,295.015402721194,293.322173061823
0.021,295.05684898891,293.329848518942
0.0215,295.09812794225,293.337652129747
0.022,295.139241322172,293.345581362287
0.0225,295.180190869631,293.35363368461
0.023,295.220973225062,293.361814598572
0.0235,295.261593112043,293.37011687431
0.024,295.302052316114,293.378537909654
0.0245,295.342352373701,293.387075494809
0.025,295.382494821232,293.395727419976
0.0255,295.422481195134,293.404491475358
0.026,295.462313031835,293.41336545116
0.0265,295.501991867761,293.422347137584
0.027,295.541515938124,293.431439525986
0.0275,295.580887639928,293.44063905071
0.028,295.620109243686,293.449942345384
0.0285,295.659182114227,293.459347470572
0.029,295.698107616379,293.468852486835
0.0295,295.73688711497,293.478455454736
0.03,295.775521974828,293.488154434836
0.0305,295.814013560781,293.497947487697
0.031,295.852362015911,293.507834609611
0.0315,295.890568199222,293.517814662559
0.032,295.928634053558,293.527884791305
0.0325,295.966560742586,293.538043375124
0.033,296.004349415957,293.548288815505
0.0335,296.042001209303,293.558619536148
0.034,296.079517244236,293.569033982966
0.0345,296.116898628348,293.579530624082
0.035,296.154146455214,293.590107949831
0.0355,296.191261804388,293.60076447276
0.036,296.228245741407,293.611498727628
0.0365,296.265099317788,293.622309271405
0.037,296.301823571029,293.633194683272
0.0375,296.338419524609,293.644153564623
0.038,296.374888187987,293.655184539063
0.0385,296.411230556605,293.666286252409
0.039,296.447447477376,293.677457575674
0.0395,296.483539304502,293.688698124464
0.04,296.519507512367,293.700005825
0.0405,296.555353013182,293.711379452927
0.041,296.591076703782,293.72281780814
0.0415,296.626679465639,293.734319714782
0.042,296.662162164852,293.745884021248
0.0425,296.69752565215,293.757509600181
0.043,296.732770762894,293.769195348474
0.0435,296.767898317076,293.780940187269
0.044,296.802909119317,293.792743061959
0.0445,296.837803958869,293.804602942185
0.045,296.872583609615,293.816518821839
0.0455,296.907248830067,293.828489719063
0.046,296.941800363371,293.840514676246
0.0465,296.976238937299,293.852592760029
0.047,297.010565264257,293.864723061302
0.0475,297.044783657362,293.876898982266
0.048,297.078893073304,293.889122387547
0.0485,297.112893444865,293.901393599638
0.049,297.14678553583,293.91371162813
0.0495,297.180570099158,293.92607549968
0.05,297.214247876987,293.93848425801
0.0505,297.247819600631,293.950936963908
0.051,297.281285990582,293.963432695231
0.0515,297.314647756511,293.9759705469
0.052,297.347905597263,293.988549630903
0.0525,297.381060200864,294.001169076293
0.053,297.414112244514,294.013828029191
0.0535,297.447062394592,294.026525652783
0.054,297.479911306654,294.039261127322
0.0545,297.512659625433,294.052033650127
0.055,297.54530798484,294.064842435584
0.0555,297.577857891925,294.077685284492
0.056,297.610310697962,294.090560249312
0.0565,297.642665910732,294.103468365673
