"time","C1.v","C2.v","C3.v","C4.v","C7.v"
0,0,0,0,0,0
0.012,0,0,0,0,0
0.024,0,0,0,0,0
0.036,0,0,0,0,0
0.048,0,0,0,0,0
0.06,0,0,0,0,0
0.072,0,0,0,0,0
0.084,0,0,0,0,0
0.096,0,0,0,0,0
0.108,0,0,0,0,0
0.12,0,0,0,0,0
0.132,0,0,0,0,0
0.144,0,0,0,0,0
0.156,0,0,0,0,0
0.168,0,0,0,0,0
0.18,0,0,0,0,0
0.192,0,0,0,0,0
0.204,0,0,0,0,0
0.216,0,0,0,0,0
0.228,0,0,0,0,0
0.24,0,0,0,0,0
0.252,0,0,0,0,0
0.264,0,0,0,0,0
0.276,0,0,0,0,0
0.288,0,0,0,0,0
0.3,0,0,0,0,0
0.312,0,0,0,0,0
0.324,0,0,0,0,0
0.336,0,0,0,0,0
0.348,0,0,0,0,0
0.36,0,0,0,0,0
0.372,0,0,0,0,0
0.384,0,0,0,0,0
0.396,0,0,0,0,0
0.408,0,0,0,0,0
0.42,0,0,0,0,0
0.432,0,0,0,0,0
0.444,0,0,0,0,0
0.456,0,0,0,0,0
0.468,0,0,0,0,0
0.48,0,0,0,0,0
0.492,0,0,0,0,0
0.504,0,0,0,0,0
0.516,0,0,0,0,0
0.528,0,0,0,0,0
0.54,0,0,0,0,0
0.552,0,0,0,0,0
0.564,0,0,0,0,0
0.576,0,0,0,0,0
0.588,0,0,0,0,0
0.6,0,0,0,0,0
0.612,0,0,0,0,0
0.624,0,0,0,0,0
0.636,0,0,0,0,0
0.648,0,0,0,0,0
0.66,0,0,0,0,0
0.672,0,0,0,0,0
0.684,0,0,0,0,0
0.696,0,0,0,0,0
0.708,0,0,0,0,0
0.72,0,0,0,0,0
0.732,0,0,0,0,0
0.744,0,0,0,0,0
0.756,0,0,0,0,0
0.768,0,0,0,0,0
0.78,0,0,0,0,0
0.792,0,0,0,0,0
0.804,0,0,0,0,0
0.816,0,0,0,0,0
0.828,0,0,0,0,0
0.84,0,0,0,0,0
0.852,0,0,0,0,0
0.864,0,0,0,0,0
0.876,0,0,0,0,0
0.888,0,0,0,0,0
0.9,0,0,0,0,0
0.912,0,0,0,0,0
0.924,0,0,0,0,0
0.936,0,0,0,0,0
0.948,0,0,0,0,0
0.96,0,0,0,0,0
0.972,0,0,0,0,0
0.984,0,0,0,0,0
0.996,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1.008,-0.00610679102937747,-0.000689749867445346,-1.66238580096015e-05,0.00036828479148769,1.49775451902873e-06
1.02,-0.0151965041808272,-0.00171545629795637,-0.000103510110902186,0.000912485242184452,9.35429973506845e-06
1.032,-0.0242017919552832,-0.00273079355242247,-0.00026418415655316,0.00144709380588611,2.39338124707258e-05
1.044,-0.0331228140166829,-0.00373612490673901,-0.000498036438867889,0.00197241521403277,4.52271259605644e-05
1.056,-0.0419597520246025,-0.00473185380264721,-0.000804383065670721,0.00248878673866316,7.32247111598651e-05
1.068,-0.0507127723618533,-0.00571833664095191,-0.00118261049403892,0.00299650480000865,0.000107919049030956
1.08,-0.0593820647478298,-0.00669597221191851,-0.00163202658004527,0.00349590017031341,0.000149302270684998
1.092,-0.0679678219160755,-0.00766515268978554,-0.0021519409727697,0.00398729664165998,0.000197367607308941
1.104,-0.0764702481001281,-0.00862629360913154,-0.00274162216886152,0.00447103728843089,0.000252107889969635
1.116,-0.0848895463031171,-0.00957977913558133,-0.00340037162521277,0.0049474358948521,0.000313518735672841
1.128,-0.0932259220575008,-0.0105260033247856,-0.00412747704459479,0.00541681496580474,0.000381595221292553
1.14,-0.101479591848559,-0.0114653232925016,-0.00492224624106929,0.00587946024231303,0.000456337858626996
1.152,-0.109650769882863,-0.0123981055136263,-0.00578398114222144,0.00633566665006857,0.000537745857882587
1.164,-0.11773966602272,-0.0133247280923206,-0.00671197877260916,0.00678574092310373,0.00062581658210936
1.176,-0.125746492144435,-0.0142455637414306,-0.00770553842982892,0.00722998432111604,0.000720548250697191
1.188,-0.133671488567703,-0.0151609572977794,-0.00876394475104188,0.0076686672216869,0.000821946805949454
1.2,-0.141514868485518,-0.0160712801837855,-0.00988649635518863,0.00810208945492953,0.000930010824762474
1.212,-0.149276846311168,-0.0169769026259181,-0.0110724912322412,0.00853054952603881,0.00104473921536446
1.224,-0.156957640214333,-0.0178781911691823,-0.0123212254360324,0.00895434186174409,0.00116613190591492
1.236,-0.164557542605969,-0.0187754106444158,-0.0136319862547779,0.00937365379133791,0.00129421188385175
1.248,-0.172076761923153,-0.019668940930763,-0.0150040708914322,0.0097887937814046,0.00142897605439633
1.26,-0.179515521201025,-0.0205591419073143,-0.0164367748253666,0.0102000492399619,0.00157042585691543
1.272,-0.186874050496059,-0.0214463638335868,-0.0179293927069482,0.0106076974463344,0.00171856491159697
1.284,-0.194152671740816,-0.0223308465549627,-0.0194811963733795,0.0110119008690808,0.00187342451320469
1.296,-0.201351595574318,-0.0232129636663154,-0.0210914852964511,0.011412961052083,0.00203500243307312
1.308,-0.208471060714122,-0.0240930550185124,-0.0227595519759519,0.0118111444515491,0.00220330490024975
1.32,-0.21551131100924,-0.0249714542955842,-0.0244846876375122,0.0122067111112897,0.00237833968945912
1.332,-0.222472686214623,-0.0258483817989832,-0.026266162083209,0.0125998070487215,0.00256014394098139
1.344,-0.229355402913608,-0.0267242034469494,-0.0281032726293025,0.0129907247248993,0.00274871708103211
1.356,-0.236159716519337,-0.0275992392520868,-0.0299953079182178,0.0133797104345775,0.00294407042517109
1.368,-0.242885885222598,-0.0284738059028164,-0.0319415560708119,0.0137670071891608,0.00314621614925171
1.38,-0.249534238016325,-0.0293481328491357,-0.0339412980498163,0.0141527754928941,0.00335518896619859
1.392,-0.256105023953718,-0.0302225480382867,-0.035993822899902,0.0145372690053956,0.00357099814327455
1.404,-0.262598523183252,-0.0310973411036628,-0.0380984165219952,0.0149207051503372,0.0037936628456968
1.416,-0.26901501890964,-0.0319727979129331,-0.0402543645080351,0.0153032977898953,0.00402320321151536
1.428,-0.275354797393832,-0.0328492005680423,-0.042460952140974,0.0156852572247514,0.00425964035161305
1.44,-0.281618147953018,-0.0337268274052104,-0.0447174643947775,0.0160667901940918,0.00450299634970545
1.452,-0.287805362960623,-0.0346059529949333,-0.047023185934424,0.0164480998756076,0.00475329426234095
1.464,-0.293916739581318,-0.0354868453363988,-0.0493774021294511,0.0168293837596012,0.00501055872612337
1.476,-0.299952594275903,-0.0363697424024314,-0.0517794075273354,0.0172108158762324,0.00527482103417448
1.488,-0.30591322015273,-0.037254921104168,-0.0542284809392943,0.0175925990525779,0.00554610420985954
1.5,-0.311798924475994,-0.0381426366384597,-0.0567239073516602,0.0179749189539372,0.00582443613404868
1.512,-0.317610017819879,-0.0390331400261082,-0.0592649715900133,0.0183579573731964,0.00610984574925299
1.524,-0.323346814068554,-0.0399266781118656,-0.0618509583191808,0.0187418922308277,0.00640236305962451
1.536,-0.329009630416177,-0.0408234935644342,-0.0644811520432373,0.01912689757489,0.00670201913095628
1.548,-0.334598787366896,-0.041723824876467,-0.0671548371055048,0.0195131435810283,0.00700884609068227
1.56,-0.340114600224652,-0.0426279118414396,-0.0698713093264098,0.0199008074735259,0.00732287503414077
1.572,-0.345557357038838,-0.0435360097470866,-0.0726299061632497,0.0202901018274517,0.0076441305986094
1.584,-0.350927410594021,-0.0444483301739095,-0.0754298809123864,0.0206811565190671,0.00797265359526101
1.596,-0.356225089626268,-0.0453650981333623,-0.0782705241227134,0.0210741326611234,0.00830847916598283
1.608,-0.361450725783334,-0.0462865347171831,-0.0811511267270567,0.0214691880050947,0.0086516434163101
1.62,-0.366604653624656,-0.0472128570973936,-0.0840709800421753,0.0218664769411785,0.00900218341542607
1.632,-0.371687210621362,-0.0481442785262997,-0.0870293757687609,0.0222661504982956,0.00936013719616204
1.644,-0.376698737156263,-0.0490810083364909,-0.0900256059914379,0.02266835634409,0.00972554375499732
1.656,-0.381639567810936,-0.0500232540818337,-0.0930589808944909,0.0230732491359915,0.0100984404018988
1.668,-0.386510026576007,-0.0509712227144303,-0.0961288385006561,0.0234809962114611,0.0104788613034598
1.68,-0.391310476665349,-0.0519251083439645,-0.0992344433853642,0.0238917184080785,0.0108668526346061
1.692,-0.396041266983785,-0.0528851053919907,-0.102375095522402,0.0243055536606053,0.0112624562959761
1.704,-0.400702749118949,-0.0538514044165878,-0.105550095734855,0.024722636814434,0.0116657150822404
1.716,-0.405295277341284,-0.0548241921123594,-0.108758745695108,0.0251430996255877,0.0120766726821018
1.728,-0.409819208604043,-0.0558036513104336,-0.112000347924845,0.0255670707607198,0.0124953736782952
1.74,-0.414274902543292,-0.0567899609784634,-0.11527420579505,0.0259946757971143,0.0129218635475877
1.752,-0.418662708546989,-0.0577832997145526,-0.118579647801056,0.0264260512106465,0.0133561836181821
1.764,-0.422982972046837,-0.0587838440472017,-0.121916015750938,0.0268613375696025,0.0137983735233142
1.776,-0.427236074292334,-0.0597917576883821,-0.125282590098164,0.0273006365092797,0.0142484867117144
1.788,-0.431422382168777,-0.0608072050926814,-0.128678684147643,0.0277440650161298,0.0147065708784196
1.8,-0.435542264990911,-0.0618303469196719,-0.132103612529227,0.0281917372613142,0.0151726745136952
1.812,-0.43959609450292,-0.0628613400339101,-0.13555669119771,0.0286437646007039,0.0156468469030339
1.824,-0.443584244878434,-0.0639003375049371,-0.13903723743283,0.0291002555748797,0.0161291381271567
1.836,-0.447507092720524,-0.0649474886072781,-0.142544569839266,0.0295613159091322,0.0166195990620123
1.848,-0.451365001261685,-0.0660029430982821,-0.146078036128212,0.0300270636161554,0.0171182739270217
1.86,-0.455158338123678,-0.0670668464096623,-0.149636981889796,0.0304976120200262,0.0176252086611439
1.872,-0.458887498239086,-0.0681393334415085,-0.153220710289541,0.0309730478462787,0.0181404617333589
1.884,-0.462552864540641,-0.0692205392056118,-0.156828551189302,0.0314534687976225,0.0186640856025929
1.896,-0.466154822145591,-0.0703105949850606,-0.160459836206533,0.0319389699955917,0.0191961334074862
1.908,-0.469693758355704,-0.0714096283342411,-0.164113898714289,0.0324296439805454,0.0197366589663935
1.92,-0.473170062657266,-0.0725177630788368,-0.167790073841224,0.0329255807116673,0.0202857167773836
1.932,-0.476584126721081,-0.0736351193158288,-0.171487698471594,0.033426867566966,0.0208433620182393
1.944,-0.479936329419355,-0.0747618182306051,-0.175206135081926,0.0339336023917675,0.0214096428235139
1.956,-0.483227058537017,-0.0758979751167166,-0.178944737200431,0.0344458745907647,0.0219846114754816
1.968,-0.486456717621948,-0.0770436971735108,-0.18270283850896,0.0349637591622924,0.0225683279350408
1.98,-0.489625702805742,-0.0781990909583166,-0.186479789718908,0.0354873368846585,0.0231608478941346
1.992,-0.492734411859759,-0.079364259474899,-0.190274944163918,0.0360166864294086,0.0237622274436316
2.004,-0.495783244165485,-0.0805393021829893,-0.194087657847032,0.0365518843871394,0.0243725230580484
2.016,-0.498772600684891,-0.0817243150078141,-0.197917289487851,0.0370930052933119,0.0249917915802714
2.028,-0.501702883930795,-0.0829193903496252,-0.201763200569688,0.0376401216540658,0.0256200902062783
2.04,-0.504574492058237,-0.0841246200981082,-0.205624761683831,0.0381933078115402,0.0262574728706343
2.052,-0.507387829248058,-0.0853400903194835,-0.209501341422872,0.0387526331689124,0.0269039966063869
2.064,-0.510143303675143,-0.0865658822893585,-0.213392308572363,0.0393181635237697,0.0275597203040575
2.076,-0.512841322330957,-0.0878020751334303,-0.217297037671933,0.0398899644559252,0.0282247015447607
2.088,-0.515482293428829,-0.0890487445924674,-0.221214906454334,0.0404680997630006,0.0288989980756376
2.1,-0.518066626364525,-0.0903059630368423,-0.22514529590308,0.0410526314926323,0.0295826677885857
2.112,-0.520594731676818,-0.0915737994810637,-0.229087590310087,0.0416436199746772,0.0302757686989879
2.124,-0.523067021008063,-0.0928523195983094,-0.233041177333314,0.0422411238534193,0.0309783589244417
2.136,-0.525483909227312,-0.0941415865322604,-0.237005440453832,0.0428451963072283,0.0316904969307111
2.148,-0.527845810032927,-0.0954416593049141,-0.240979774350098,0.0434558927637944,0.0324122409719509
2.16,-0.530153137956166,-0.0967525935843478,-0.244963577775155,0.0440732673305277,0.0331436493218881
2.172,-0.532406309115425,-0.0980744419918666,-0.248956250824801,0.0446973714275294,0.0338847803506229
2.184,-0.534605740592893,-0.0994072539012544,-0.25295719704748,0.0453282548492363,0.034635692431205
2.196,-0.536751850398213,-0.100751075454446,-0.256965823491063,0.0459659657911784,0.0353964439187452
2.208,-0.538845057432145,-0.102105949577197,-0.260981540749625,0.0466105508767358,0.0361670931295262
2.22,-0.540885781450226,-0.10347191599476,-0.265003763010224,0.0472620551838969,0.036947698320114
2.232,-0.542874445827987,-0.104849011525542,-0.269031900333563,0.0479205180529757,0.0377383183863027
2.244,-0.544811471343259,-0.106237269483423,-0.273065375835937,0.048585982422267,0.038539011253984
