"time","junctionIdeal.medium.T","junctionIdeal.medium.p","pipe1.mediums[1].T","pipe1.mediums[1].p","pipe2.mediums[1].T","pipe2.mediums[1].p","pipe3.mediums[1].T","pipe3.mediums[1].p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,300,500000,293.14999999999998,497500,293.14999999999998,492500,293.14999999999998,492500,0,1,2,1,0,1,2,3
0.001,297.77195497042976,487398.66479632311,293.14227982359824,497391.75949430425,288.18235799907296,463788.83792978129,288.18235799907296,463788.83792978129,0,1,2,1,0,1,2,3
0.002,295.49133557185536,474844.43111651088,292.92255796283291,496019.48008626851,283.5076341500494,437774.66228562628,283.5076341500494,437774.66228562628,0,1,2,1,0,1,2,3
0.0030000000000000001,293.16601208111535,462112.30521066487,292.61790517091521,494128.6708870047,279.07161489713297,413963.5637336364,279.07161489713297,413963.5637336364,0,1,2,1,0,1,2,3
0.0040000000000000001,290.89626260040865,449638.41400265181,292.26159475302171,491916.76400241547,274.84737478945164,392057.52405543567,274.84737478945164,392057.52405543567,0,1,2,1,0,1,2,3
0.0050000000000000001,288.73557750900352,437627.22020605247,291.87166391519719,489491.07589646132,270.81781053782629,371837.42304733302,270.81781053782629,371837.42304733302,0,1,2,1,0,1,2,3
0.0060000000000000001,286.71285493592433,426170.65499196557,291.45976250712755,486920.75405232282,266.97068653379455,353128.16008908366,266.97068653379455,353128.16008908366,0,1,2,1,0,1,2,3
0.0070000000000000001,284.84276125529379,415302.41259552137,291.03407105508853,484254.04822483787,263.29663851112372,335783.74944827438,263.29663851112372,335783.74944827438,0,1,2,1,0,1,2,3
0.0080000000000000002,283.13129252326564,405025.50227781507,290.60072265704224,481526.79591508856,259.78811467155339,319678.98655934824,259.78811467155339,319678.98655934824,0,1,2,1,0,1,2,3
0.0090000000000000011,281.57875235256796,395325.64195001818,290.16443281595775,478766.23816043901,256.43882813718272,304704.80662549526,256.43882813718272,304704.80662549526,0,1,2,1,0,1,2,3
0.01,280.18178228415752,386179.67367499671,289.72890962383366,475993.52329062985,253.24338257328594,290764.95767614507,253.24338257328594,290764.95767614507,0,1,2,1,0,1,2,3
0.010999999999999999,278.93459298427962,377559.95306656748,289.29713342585535,473225.41441012162,250.19703140889155,277773.74730830034,250.19703140889155,277773.74730830034,0,1,2,1,0,1,2,3
0.012,277.82975509919589,369436.65502669214,288.87149374121407,470475.15188758873,247.29552934925945,265654.46881056158,247.29552934925945,265654.46881056158,0,1,2,1,0,1,2,3
0.013000000000000001,276.858829471847,361779.49193204206,288.45391034138493,467753.20361630531,244.53501036664679,254338.12235715997,244.53501036664679,254338.12235715997,0,1,2,1,0,1,2,3
0.014,276.01285591378553,354558.93603141845,288.04593035791402,465067.86720763822,241.91188990046106,243762.33340326734,241.91188990046106,243762.33340326734,0,1,2,1,0,1,2,3
0.014999999999999999,275.28267117280927,347746.78406285308,287.64880260824538,462425.72953925806,239.42279557711251,233870.50451964454,239.42279557711251,233870.50451964454,0,1,2,1,0,1,2,3
0.016,274.65911212933111,341316.32389035402,287.26352765568885,459831.97768471215,237.06451999780504,224611.15233618391,237.06451999780504,224611.15233618391,0,1,2,1,0,1,2,3
0.017000000000000001,274.13317841226944,335242.44083427626,286.89089544200635,457290.63210797071,234.83398293503922,215937.3440128252,234.83398293503922,215937.3440128252,0,1,2,1,0,1,2,3
0.018000000000000002,273.69616525473936,329501.7133439139,286.53151915656684,454804.75347288547,232.7281990054199,207806.19850357826,232.7281990054199,207806.19850357826,0,1,2,1,0,1,2,3
0.019,273.3397519320269,324072.40882386232,286.18586450340769,452376.61923273932,230.74427046014108,200178.50938223524,230.74427046014108,200178.50938223524,0,1,2,1,0,1,2,3
0.02,273.05607719405907,318934.49597985815,285.85427256978778,450007.86026284081,228.8799890825683,193020.19612626309,228.8799890825683,193020.19612626309,0,1,2,1,0,1,2,3
