"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.001,84388.1894244563,499999.846842852,84388.189424418,499999.846842864,84388.189424418,499999.846842864,0,0,2,1,0,0,2,2
0.002,84388.1894244562,499999.846842822,84388.189424418,499999.846842822,84388.189424418,499999.846842822,0,0,2,1,0,0,2,2
0.003,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.004,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.005,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.006,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.007,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.008,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.009,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.01,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.011,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.012,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.013,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.014,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.015,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.016,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.017,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.018,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.019,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.02,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.021,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.022,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.023,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.024,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.025,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.026,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.027,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.028,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.029,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.03,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.031,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.032,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.033,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.034,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.035,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.036,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.037,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.038,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.039,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.04,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.041,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.042,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
0.043,84388.1894244562,499999.846842821,84388.189424418,499999.846842821,84388.189424418,499999.846842821,0,0,2,1,0,0,2,2
